experience_level,employment_type,employee_residence,remote_ratio,company_location,company_size,new_job_title,sqrt_salary_in_usd,Cluster_Label
Senior,Full-time,PT,Full-Remote,US,MEDIUM,Machine Learning,387.298,0
Mid/Intermediate level,Full-time,IN,Full-Remote,DE,SMALL,Other,264.104,1
Entry level,Full-time,IN,Half-Remote,IN,LARGE,Other,547.723,1
Mid/Intermediate level,Full-time,NL,Full-Remote,NL,LARGE,Machine Learning,310.77,0
Senior,Full-time,US,On-Site,US,MEDIUM,Data Engineering,431.161,0
Senior,Full-time,US,On-Site,US,MEDIUM,Data Engineering,359.583,0
Senior,Full-time,US,Full-Remote,US,MEDIUM,Data Engineering,474.342,0
Senior,Full-time,US,Full-Remote,US,MEDIUM,Data Engineering,418.33,0
Senior,Full-time,US,On-Site,US,MEDIUM,Data Engineering,430.116,0
Senior,Full-time,US,On-Site,US,MEDIUM,Data Engineering,374.166,0
Senior,Full-time,ES,On-Site,ES,MEDIUM,Data Science,219.748,1
Senior,Full-time,ES,On-Site,ES,MEDIUM,Data Science,196.548,1
Senior,Full-time,US,On-Site,US,MEDIUM,Data Science,324.037,0
Senior,Full-time,US,On-Site,US,MEDIUM,Data Science,264.575,0
Entry level,Full-time,US,On-Site,US,MEDIUM,Machine Learning,403.975,0
Entry level,Full-time,US,On-Site,US,MEDIUM,Machine Learning,381.949,0
Senior,Full-time,US,Full-Remote,US,MEDIUM,Data Engineering,465.833,0
Senior,Full-time,US,Full-Remote,US,MEDIUM,Data Engineering,430.116,0
Senior,Full-time,US,On-Site,US,LARGE,Data Engineering,450.333,0
Senior,Full-time,US,On-Site,US,LARGE,Data Engineering,322.955,0
Senior,Full-time,US,On-Site,US,MEDIUM,Data Engineering,380.789,0
Senior,Full-time,US,On-Site,US,MEDIUM,Data Engineering,254.951,0
Senior,Full-time,US,On-Site,US,MEDIUM,Data Engineering,406.202,0
Senior,Full-time,US,On-Site,US,MEDIUM,Data Engineering,363.731,0
Senior,Full-time,US,On-Site,US,MEDIUM,Data Engineering,423.285,0
Senior,Full-time,US,On-Site,US,MEDIUM,Data Engineering,307.083,0
Senior,Full-time,US,On-Site,US,MEDIUM,Data Engineering,390.512,0
Senior,Full-time,US,On-Site,US,MEDIUM,Data Engineering,341.248,0
Senior,Full-time,US,On-Site,US,MEDIUM,Data Engineering,497.293,0
Senior,Full-time,US,On-Site,US,MEDIUM,Data Engineering,365.787,0
Senior,Full-time,US,On-Site,US,MEDIUM,Other,450.555,0
Senior,Full-time,US,On-Site,US,MEDIUM,Other,364.692,0
Entry level,Full-time,US,Half-Remote,US,LARGE,Data Science,469.042,0
Entry level,Full-time,CH,Full-Remote,CH,SMALL,Machine Learning,237.773,2
Senior,Full-time,US,On-Site,US,MEDIUM,Data Science,387.298,0
Senior,Full-time,US,On-Site,US,MEDIUM,Data Science,346.41,0
Senior,Full-time,US,On-Site,US,MEDIUM,Data Engineering,538.331,0
Senior,Full-time,US,On-Site,US,MEDIUM,Data Engineering,462.601,0
Senior,Full-time,US,On-Site,US,MEDIUM,Data Engineering,424.052,0
Senior,Full-time,US,On-Site,US,MEDIUM,Data Engineering,379.289,0
Senior,Full-time,US,Full-Remote,US,MEDIUM,Machine Learning,532.165,0
Senior,Full-time,US,Full-Remote,US,MEDIUM,Machine Learning,434.511,0
Senior,Full-time,US,On-Site,US,MEDIUM,Data Engineering,538.331,0
Senior,Full-time,US,On-Site,US,MEDIUM,Data Engineering,462.817,0
Senior,Full-time,US,On-Site,US,MEDIUM,Data Engineering,431.161,0
Senior,Full-time,US,On-Site,US,MEDIUM,Data Engineering,359.583,0
Senior,Full-time,US,On-Site,US,MEDIUM,Data Engineering,501.996,0
Senior,Full-time,US,On-Site,US,MEDIUM,Data Engineering,359.166,0
Mid/Intermediate level,Full-time,US,On-Site,US,MEDIUM,Management,393.7,0
Mid/Intermediate level,Full-time,US,On-Site,US,MEDIUM,Management,374.166,0
Senior,Full-time,US,Full-Remote,US,MEDIUM,Data Engineering,402.244,0
Senior,Full-time,US,Full-Remote,US,MEDIUM,Data Engineering,376.298,0
Senior,Full-time,US,On-Site,US,LARGE,Machine Learning,585.064,0
Senior,Full-time,US,On-Site,US,LARGE,Machine Learning,419.643,0
Mid/Intermediate level,Full-time,US,Full-Remote,US,MEDIUM,Data Engineering,316.228,0
Mid/Intermediate level,Full-time,US,Full-Remote,US,MEDIUM,Data Engineering,264.575,0
Entry level,Full-time,US,On-Site,US,MEDIUM,Data Engineering,291.548,0
Entry level,Full-time,US,On-Site,US,MEDIUM,Data Engineering,254.951,0
Senior,Full-time,US,Full-Remote,US,MEDIUM,Data Science,372.537,0
Senior,Full-time,US,Full-Remote,US,MEDIUM,Data Science,288.565,0
Entry level,Full-time,US,On-Site,US,MEDIUM,Data Engineering,273.861,0
Entry level,Full-time,US,On-Site,US,MEDIUM,Data Engineering,264.575,0
Senior,Full-time,US,On-Site,US,MEDIUM,Data Engineering,452.217,0
Senior,Full-time,US,On-Site,US,MEDIUM,Data Engineering,372.693,0
Senior,Full-time,US,Full-Remote,US,MEDIUM,Machine Learning,564.181,0
Senior,Full-time,US,Full-Remote,US,MEDIUM,Machine Learning,460.652,0
Senior,Full-time,US,Full-Remote,US,MEDIUM,Data Engineering,308.221,0
Senior,Full-time,US,Full-Remote,US,MEDIUM,Data Engineering,273.861,0
Senior,Full-time,US,On-Site,US,MEDIUM,Data Science,441.588,0
Senior,Full-time,US,On-Site,US,MEDIUM,Data Science,400.0,0
Senior,Full-time,US,On-Site,US,MEDIUM,Data Engineering,479.583,0
Senior,Full-time,US,On-Site,US,MEDIUM,Data Engineering,378.418,0
Mid/Intermediate level,Full-time,US,Full-Remote,US,MEDIUM,Data Engineering,316.228,0
Mid/Intermediate level,Full-time,US,Full-Remote,US,MEDIUM,Data Engineering,264.575,0
Mid/Intermediate level,Full-time,US,Half-Remote,US,LARGE,Data Engineering,324.037,0
Mid/Intermediate level,Full-time,IN,Full-Remote,IN,LARGE,Other,143.771,1
Mid/Intermediate level,Full-time,GB,On-Site,GB,MEDIUM,Data Engineering,214.891,1
Mid/Intermediate level,Full-time,GB,On-Site,GB,MEDIUM,Data Engineering,206.235,1
Senior,Full-time,US,On-Site,US,MEDIUM,Data Engineering,380.789,0
Senior,Full-time,US,On-Site,US,MEDIUM,Data Engineering,339.116,0
Senior,Full-time,US,On-Site,US,MEDIUM,Data Engineering,410.366,0
Senior,Full-time,US,On-Site,US,MEDIUM,Data Engineering,324.345,0
Senior,Full-time,US,On-Site,US,LARGE,Data Science,556.237,0
Senior,Full-time,US,On-Site,US,LARGE,Data Science,398.873,0
Senior,Full-time,US,On-Site,US,MEDIUM,Machine Learning,435.89,0
Senior,Full-time,US,On-Site,US,MEDIUM,Machine Learning,387.298,0
Mid/Intermediate level,Full-time,US,On-Site,US,MEDIUM,Data Engineering,403.113,0
Mid/Intermediate level,Full-time,US,On-Site,US,MEDIUM,Data Engineering,360.555,0
Senior,Full-time,US,Full-Remote,US,MEDIUM,Data Engineering,387.298,0
Senior,Full-time,US,Full-Remote,US,MEDIUM,Data Engineering,346.41,0
Senior,Full-time,US,On-Site,US,MEDIUM,Data Engineering,380.789,0
Senior,Full-time,US,On-Site,US,MEDIUM,Data Engineering,346.41,0
Senior,Full-time,US,On-Site,US,LARGE,Data Science,471.381,0
Senior,Full-time,US,On-Site,US,LARGE,Data Science,368.782,0
Senior,Full-time,CF,Full-Remote,CF,MEDIUM,Data Engineering,233.848,2
Senior,Full-time,CF,Full-Remote,CF,MEDIUM,Data Engineering,206.235,2
Senior,Full-time,US,On-Site,US,MEDIUM,Data Engineering,490.918,0
Senior,Full-time,US,On-Site,US,MEDIUM,Data Engineering,393.7,0
Senior,Full-time,US,Full-Remote,US,MEDIUM,Data Engineering,469.042,0
Senior,Full-time,US,Full-Remote,US,MEDIUM,Data Engineering,435.89,0
Mid/Intermediate level,Full-time,GB,On-Site,GB,MEDIUM,Data Science,258.529,1
Mid/Intermediate level,Full-time,GB,On-Site,GB,MEDIUM,Data Science,233.848,1
Executive level,Full-time,NG,On-Site,CA,MEDIUM,Other,122.474,1
Mid/Intermediate level,Full-time,GB,Full-Remote,GB,MEDIUM,Other,291.661,1
Mid/Intermediate level,Full-time,GB,Full-Remote,GB,MEDIUM,Other,240.256,1
Entry level,Full-time,US,Full-Remote,US,MEDIUM,Data Engineering,291.548,0
Entry level,Full-time,US,Full-Remote,US,MEDIUM,Data Engineering,273.861,0
Senior,Full-time,US,On-Site,US,MEDIUM,Data Engineering,400.0,0
Senior,Full-time,US,On-Site,US,MEDIUM,Data Engineering,374.166,0
Mid/Intermediate level,Full-time,US,On-Site,US,MEDIUM,Machine Learning,547.723,0
Mid/Intermediate level,Full-time,US,On-Site,US,MEDIUM,Machine Learning,500.0,0
Senior,Full-time,US,On-Site,US,MEDIUM,Data Science,477.493,0
Senior,Full-time,US,On-Site,US,MEDIUM,Data Science,431.277,0
